,a_CT,a_TA,Ps,F0,SPL
20920,0.2,0.04,810.0,122.24938875305624,77.41691566519202
20921,0.22,0.04,810.0,123.45679012345678,77.32244581809394
20922,0.24,0.04,810.0,125.0,77.259854456442
20923,0.26,0.04,810.0,126.90355329949239,77.12140830557694
20924,0.28,0.04,810.0,128.8659793814433,76.98367651632552
20925,0.3,0.04,810.0,130.89005235602093,76.8323889964723
20926,0.32,0.04,810.0,133.33333333333334,76.70800761684048
20927,0.34,0.04,810.0,136.23978201634878,76.57998344103808
20928,0.36,0.04,810.0,139.66480446927375,76.38840477185221
20929,0.38,0.04,810.0,143.26647564469914,76.25808831200062
20930,0.4,0.04,810.0,147.49262536873155,76.12444023939814
20931,0.42,0.04,810.0,151.9756838905775,76.04762777705142
20932,0.44,0.04,810.0,157.23270440251574,75.91857083305976
20933,0.46,0.04,810.0,163.3986928104575,75.60272141996053
20934,0.48,0.04,810.0,170.06802721088437,75.48644723756904
20935,0.5,0.04,810.0,177.3049645390071,75.47183284129756
20936,0.52,0.04,810.0,185.1851851851852,75.17439500491177
20937,0.54,0.04,810.0,194.55252918287937,74.8759308880666
20938,0.56,0.04,810.0,204.08163265306123,74.8475188820134
20939,0.5800000000000001,0.04,810.0,214.59227467811158,74.48022202315742
20940,0.6,0.04,810.0,226.2443438914027,74.22606850312829
20941,0.62,0.04,810.0,239.23444976076556,73.78578446663124
20942,0.64,0.04,810.0,252.5252525252525,73.39573303628852
20943,0.6599999999999999,0.04,810.0,265.9574468085106,72.9714015787508
20944,0.6799999999999999,0.04,810.0,282.4858757062147,72.56689371505583
20945,0.7,0.04,810.0,299.4011976047904,72.15334530443813
20946,0.72,0.04,810.0,316.45569620253167,71.64200226520076
20947,0.74,0.04,810.0,335.5704697986577,71.04064521236177
20948,0.76,0.04,810.0,354.6099290780142,70.46868319961055
20949,0.78,0.04,810.0,375.9398496240602,69.93902292670198
20950,0.8,0.04,810.0,400.0,69.1985023422348
20951,0.8200000000000001,0.04,810.0,423.728813559322,68.73909320079201
20952,0.84,0.04,810.0,446.42857142857144,67.4557872784452
20953,0.86,0.04,810.0,476.1904761904762,66.89038448747364
20954,0.88,0.04,810.0,515.4639175257732,66.64824266198596
20955,0.9,0.04,810.0,543.4782608695652,65.63659398798956
20956,0.92,0.04,810.0,588.2352941176471,65.29759950081268
20957,0.94,0.04,810.0,632.9113924050633,64.79946467182542
20958,0.96,0.04,810.0,675.6756756756756,63.92747367097245
20959,0.98,0.04,810.0,724.6376811594203,63.30639819309346
20960,1.0,0.04,810.0,793.6507936507936,63.047065697493146
20961,0.0,0.06,810.0,106.60980810234541,76.57273983412698
20962,0.02,0.06,810.0,109.17030567685589,76.59661937816489
20963,0.04,0.06,810.0,111.60714285714286,76.6504015554018
20964,0.06,0.06,810.0,113.89521640091117,76.62930306841251
20965,0.08,0.06,810.0,116.27906976744185,76.63630067842223
20966,0.1,0.06,810.0,118.48341232227489,76.67257308140135
20967,0.12,0.06,810.0,120.48192771084338,76.72922809870852
20968,0.14,0.06,810.0,122.54901960784314,76.75710377203575
20969,0.16,0.06,810.0,124.37810945273633,76.7704119025339
20970,0.18,0.06,810.0,125.94458438287154,76.69761066647263
20971,0.2,0.06,810.0,127.8772378516624,76.75977462591285
20972,0.22,0.06,810.0,129.87012987012986,76.69382430600679
20973,0.24,0.06,810.0,131.57894736842104,76.63847271213605
20974,0.26,0.06,810.0,133.33333333333334,76.59920425151584
20975,0.28,0.06,810.0,135.50135501355012,76.49406575829163
20976,0.3,0.06,810.0,137.36263736263737,76.4712336295885
20977,0.32,0.06,810.0,140.0560224089636,76.34308239581149
20978,0.34,0.06,810.0,142.45014245014244,76.2990710166745
20979,0.36,0.06,810.0,145.34883720930233,76.13035287779665
20980,0.38,0.06,810.0,148.8095238095238,75.93213979381471
20981,0.4,0.06,810.0,152.4390243902439,75.82736802203725
20982,0.42,0.06,810.0,156.73981191222572,75.70050153225256
20983,0.44,0.06,810.0,161.29032258064515,75.51470518547161
20984,0.46,0.06,810.0,166.66666666666666,75.37820345086273
20985,0.48,0.06,810.0,172.41379310344828,75.27904037594985
20986,0.5,0.06,810.0,179.21146953405017,75.0183543955898
20987,0.52,0.06,810.0,186.56716417910448,74.83047001304924
20988,0.54,0.06,810.0,194.55252918287937,74.60649969779013
20989,0.56,0.06,810.0,203.2520325203252,74.51677097906675
20990,0.5800000000000001,0.06,810.0,213.67521367521368,74.1854682459079
20991,0.6,0.06,810.0,224.2152466367713,73.86885891114648
20992,0.62,0.06,810.0,235.8490566037736,73.64722487341643
20993,0.64,0.06,810.0,247.52475247524754,73.19543594223222
20994,0.6599999999999999,0.06,810.0,261.78010471204186,72.83417108614904
20995,0.6799999999999999,0.06,810.0,276.24309392265195,72.43409281975534
20996,0.7,0.06,810.0,292.39766081871346,72.13182811186255
20997,0.72,0.06,810.0,308.641975308642,71.49338206196022
20998,0.74,0.06,810.0,326.797385620915,71.00042652583403
20999,0.76,0.06,810.0,347.22222222222223,70.55540026371798
21000,0.78,0.06,810.0,367.6470588235294,69.94404824547968
21001,0.8,0.06,810.0,390.625,69.42818903868839
21002,0.8200000000000001,0.06,810.0,416.6666666666667,68.87087301930711
21003,0.84,0.06,810.0,438.5964912280702,68.02549929728312
21004,0.86,0.06,810.0,467.2897196261682,67.36297587765496
21005,0.88,0.06,810.0,495.0495049504951,66.488656073935
21006,0.9,0.06,810.0,531.9148936170212,66.09279147085871
21007,0.92,0.06,810.0,568.1818181818181,65.27100206188275
21008,0.94,0.06,810.0,609.7560975609756,64.87363729322938
21009,0.96,0.06,810.0,657.8947368421053,64.35138830547777
21010,0.98,0.06,810.0,704.2253521126761,63.525120687952494
21011,1.0,0.06,810.0,769.2307692307693,63.04941609927691
21012,0.0,0.08,810.0,107.52688172043011,75.86013542059753
